"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","00 New Item","0","","6","0","US_00.006 Create Folder","0"
"0","04 Folder","0","","6","0","US_00.006 Create Folder","0"
"0","04 Folder","0","","24","0","US_04.001 Rename Folder","0"
"0","09 Manage Jenkins","0","","10","0","US_09.005 Settings","0"
"0","09 Manage Jenkins","0","","28","0","US_09.001 Search settings","0"
"0","09 Manage Jenkins","0","","4","0","US_09.002 View 'Manage Jenkins' page > Visibility and clickability","0"
"0","04 Folder","0","","7","0","US_04.002 Move Folder to Folder","0"
"0","04 Folder","0","","5","0","US_04.003 Delete Folder","0"
"0","Http API  Requests","1","","5","0","","0"
"0","09 Manage Jenkins","0","","2","0","US_09.004 View 'Manage Jenkins' page > Users","0"
"0","","0","","0","0","","2"
"0","09 Manage Jenkins","0","","6","0","US_09.006 Plugin","0"
"0","04 Folder","0","","3","0","US_04.005 Configure folder","0"
"0","09 Manage Jenkins","0","","2","0","","0"
"0","Http API  Requests","0","","2","0","Folder","0"
"0","12 Footer","0","","8","0","US_12.001 Jenkins version","0"
"0","09 Manage Jenkins","0","","4","0","US_09.003 View 'Manage Jenkins' page > Redirection","0"
"0","00 New Item","0","","2","0","US_00.004 Create new item from other existing","0"
"0","04 Folder","0","","2","0","US_00.004 Create new item from other existing","0"
"0","04 Folder","0","","4","0","US_04.004 Add and edit description of the folder","0"
"0","04 Folder","0","","1","0","US_04.006 Folder Buil History","0"
