"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","170","0","","2"
"0","01 FreestyleProject","0","","77","0","","0"
"0","04 Folder","0","","21","0","US_04.001 Rename Folder","0"
"0","02 Pipeline","0","","21","0","US_00.002 Create Pipeline Project","0"
"0","02 Pipeline","0","","29","0","","0"
"0","04 Folder","0","","1","0","US_04.005 Configure folder","0"
"0","15 Nodes","0","","1","0","US_15.001 Create new node","0"
"0","04 Folder","0","","24","0","","0"
"0","04 Folder","0","","4","0","US_04.004 Add and edit description of the folder","0"
"0","15 Nodes","0","","2","0","US_15.002 Delete node","0"
"0","00 New Item","0","","3","0","US_00.001 Create Freestyle Project","0"
"0","01 FreestyleProject","0","","3","0","US_00.001 Create Freestyle Project","0"
"0","12 Footer","0","","4","0","US_12.001 Jenkins version","0"
"0","00 New Item","0","","2","0","US_00.006 Create Folder","0"
"0","04 Folder","0","","2","0","US_00.006 Create Folder","0"
"0","01 FreestyleProject","0","","1","0","US_01.002 Rename Project","0"
"0","03 Multiconfiguration project","0","","1","0","US_03.003 Delete project","0"
"0","02 Pipeline","0","","1","0","US_00.004 Create new item from other existing","0"
