"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","424","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Sun Jan 26 01:52:10 GMT 2025","passed","Sun Jan 26 01:52:10 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1306","testRenameFolderWithUnsafeCharactersInName","Browser Tests","Sun Jan 26 01:59:30 GMT 2025","passed","Sun Jan 26 01:59:31 GMT 2025","school.redrover.FolderTest","Edge Tests","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1071","testRenameFolderWithUnsafeCharactersInName","Surefire suite","Sun Jan 26 01:55:06 GMT 2025","passed","Sun Jan 26 01:55:07 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_01.005.02 Verify build history updates after configuration change and executing another build","9591","testUpdateAfterChangingConfig","Surefire suite","Sun Jan 26 01:53:40 GMT 2025","passed","Sun Jan 26 01:53:49 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testUpdateAfterChangingConfig"
"Delete Freestyle project","20","testDeleteFreestyleProject","Surefire suite","Sun Jan 26 01:47:17 GMT 2025","passed","Sun Jan 26 01:47:17 GMT 2025","school.redrover.APIHttpTest","Surefire test","school.redrover.APIHttpTest","testDeleteFreestyleProject"
"TC_00.001.08 Create project via content block button","1034","testCreateProjectViaContentBlockButton","Surefire suite","Sun Jan 26 01:51:28 GMT 2025","passed","Sun Jan 26 01:51:29 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testCreateProjectViaContentBlockButton"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1332","testRenameFolderWithUnsafeCharactersInName","Browser Tests","Sun Jan 26 01:59:48 GMT 2025","passed","Sun Jan 26 01:59:49 GMT 2025","school.redrover.FolderTest","Edge Tests","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_00.002.03 Create Pipeline Project with unsafe characters in name via sidepanel","267","testCreateWithUnsafeCharactersInName","Surefire suite","Sun Jan 26 01:48:59 GMT 2025","passed","Sun Jan 26 01:48:59 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithUnsafeCharactersInName"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1361","testRenameFolderWithUnsafeCharactersInName","Browser Tests","Sun Jan 26 01:59:15 GMT 2025","passed","Sun Jan 26 01:59:16 GMT 2025","school.redrover.FolderTest","Edge Tests","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_13.003.01 Can Add Description For User","989","testAddDescriptionForUser","Surefire suite","Sun Jan 26 01:47:32 GMT 2025","passed","Sun Jan 26 01:47:33 GMT 2025","school.redrover.UserTest","Surefire test","school.redrover.UserTest","testAddDescriptionForUser"
"TC_00.002.02 Create Pipeline Project with empty name via sidepanel","261","testCreateWithEmptyName","Surefire suite","Sun Jan 26 01:48:40 GMT 2025","passed","Sun Jan 26 01:48:40 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithEmptyName"
"TC_00.002.03 Create Pipeline Project with unsafe characters in name via sidepanel","469","testCreateWithUnsafeCharactersInName","Surefire suite","Sun Jan 26 01:48:53 GMT 2025","passed","Sun Jan 26 01:48:53 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithUnsafeCharactersInName"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1328","testRenameFolderWithUnsafeCharactersInName","Browser Tests","Sun Jan 26 01:59:12 GMT 2025","passed","Sun Jan 26 01:59:13 GMT 2025","school.redrover.FolderTest","Edge Tests","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_01.002.03 Rename FreestyleProject with empty name","429","testRenameEmptyName","Surefire suite","Sun Jan 26 01:51:33 GMT 2025","passed","Sun Jan 26 01:51:34 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameEmptyName"
"TC_00.001.12 Create project from existing","1727","testCreateFreestyleProjectFromExistingOne","Surefire suite","Sun Jan 26 01:51:16 GMT 2025","passed","Sun Jan 26 01:51:18 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testCreateFreestyleProjectFromExistingOne"
"TC_04.002.03 Move from 'My views' page via 'Dropdown menu'","2039","testMoveViaChevronMyView","Surefire suite","Sun Jan 26 01:54:42 GMT 2025","passed","Sun Jan 26 01:54:44 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testMoveViaChevronMyView"
"TC_09.001.07 Redirection to selected item","888","testRedirectToSelectedItemFromResultList","Cross Browser Tests","Sun Jan 26 02:01:37 GMT 2025","passed","Sun Jan 26 02:01:38 GMT 2025","school.redrover.ManageJenkinsTest","Edge Tests","school.redrover.ManageJenkinsTest","testRedirectToSelectedItemFromResultList"
"TC_15.002.03 Delete Agent (Node) via dropdown menu from 'Build Executor Status' block","6830","testDeleteAgentByChevronFromBuildExecutorsStatusBlock","Surefire suite","Sun Jan 26 01:45:08 GMT 2025","passed","Sun Jan 26 01:45:14 GMT 2025","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testDeleteAgentByChevronFromBuildExecutorsStatusBlock"
"(NO TC) 06.004.04 Verify Enable switcher tooltip once it's enable","867","testTooltipGeneralEnabled","Surefire suite","Sun Jan 26 01:45:59 GMT 2025","passed","Sun Jan 26 01:46:00 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testTooltipGeneralEnabled"
"TC_05.005.02 Delete Multibranch pipeline using sidebar status page","6188","testDeleteJobUsingSidebarStatusPage","Surefire suite","Sun Jan 26 01:55:58 GMT 2025","passed","Sun Jan 26 01:56:04 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testDeleteJobUsingSidebarStatusPage"
"TC_00.003.00 Create MultiConfiguration project with left sidebar button","1219","testCreateProjectWithoutDescription","Surefire suite","Sun Jan 26 01:43:54 GMT 2025","passed","Sun Jan 26 01:43:55 GMT 2025","school.redrover.MultiConfigurationProjectTest","Surefire test","school.redrover.MultiConfigurationProjectTest","testCreateProjectWithoutDescription"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","458","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Sun Jan 26 01:51:58 GMT 2025","passed","Sun Jan 26 01:51:58 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"(NO TC) 06.004.10 Create Organization folder with Appearance - Default icon","964","testCreateOrganizationFolderWithDefaultIcon","Surefire suite","Sun Jan 26 01:45:44 GMT 2025","passed","Sun Jan 26 01:45:45 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testCreateOrganizationFolderWithDefaultIcon"
"TC_00.004.02 Create new item from folder page","1694","testCreateNewItemFromFolderPage","Surefire suite","Sun Jan 26 01:54:09 GMT 2025","passed","Sun Jan 26 01:54:10 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testCreateNewItemFromFolderPage"
"TC_16.001.03 Verify that items are sorted by Status in ascending order by default","14058","testVerifyProjectOrderByStatusASCByDefault","Surefire suite","Sun Jan 26 01:44:48 GMT 2025","passed","Sun Jan 26 01:45:02 GMT 2025","school.redrover.DashboardTest","Surefire test","school.redrover.DashboardTest","testVerifyProjectOrderByStatusASCByDefault"
"TC_09.003.02 Redirect to 'Manage Jenkins' page","669","testRedirectionToManage","Surefire suite","Sun Jan 26 01:46:42 GMT 2025","passed","Sun Jan 26 01:46:42 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testRedirectionToManage"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","397","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Sun Jan 26 01:52:15 GMT 2025","passed","Sun Jan 26 01:52:16 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"TC_01.005.01 Build history updates after configuration changes and execution","9825","testUpdateAfterExecutingBuild","Surefire suite","Sun Jan 26 01:53:30 GMT 2025","passed","Sun Jan 26 01:53:40 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testUpdateAfterExecutingBuild"
"TC_09.001.07 Check search system configuration items","718","testSearchSystemConfigurationAllItemsAreFound","Surefire suite","Sun Jan 26 01:47:02 GMT 2025","passed","Sun Jan 26 01:47:03 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testSearchSystemConfigurationAllItemsAreFound"
"TC_04.001.05 Validate Error message, if New Folder Name is the same as Old Name","1183","testErrorMessageOnRenameFolderWithSameName","Surefire suite","Sun Jan 26 01:54:31 GMT 2025","passed","Sun Jan 26 01:54:32 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testErrorMessageOnRenameFolderWithSameName"
"TC_09.001.07 Check search system configuration items","816","testSearchSystemConfigurationAllItemsAreFound","Cross Browser Tests","Sun Jan 26 02:00:58 GMT 2025","passed","Sun Jan 26 02:00:58 GMT 2025","school.redrover.ManageJenkinsTest","Chrome Tests","school.redrover.ManageJenkinsTest","testSearchSystemConfigurationAllItemsAreFound"
"TC_16.011.01 Verify status ID description","721","testGetStatusIDDescription","Surefire suite","Sun Jan 26 01:44:35 GMT 2025","passed","Sun Jan 26 01:44:35 GMT 2025","school.redrover.DashboardTest","Surefire test","school.redrover.DashboardTest","testGetStatusIDDescription"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","244","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Sun Jan 26 01:56:21 GMT 2025","passed","Sun Jan 26 01:56:21 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"TC_01.002.05 Rename via Breadcrumb dropdown","496","testRenameViaBreadcrumbDropdown","Surefire suite","Sun Jan 26 01:51:21 GMT 2025","passed","Sun Jan 26 01:51:21 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameViaBreadcrumbDropdown"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","406","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Sun Jan 26 01:56:18 GMT 2025","passed","Sun Jan 26 01:56:18 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"(NO TC) 06.004.11 Delete organization folder via dropdown menu","6287","testFolderDeleteViaDropdownMenu","Surefire suite","Sun Jan 26 01:45:45 GMT 2025","passed","Sun Jan 26 01:45:51 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testFolderDeleteViaDropdownMenu"
"TC_00.001.03 Create Freestyle Project via sidebar","990","testCreateProjectViaSidebarMenu","Surefire suite","Sun Jan 26 01:51:32 GMT 2025","passed","Sun Jan 26 01:51:33 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testCreateProjectViaSidebarMenu"
"TC_00.006.03 Error message when trying to create a folder with dot in the end of name","316","testErrorDuringCreationWithDotInEnd","Browser Tests","Sun Jan 26 01:58:24 GMT 2025","passed","Sun Jan 26 01:58:24 GMT 2025","school.redrover.FolderTest","Edge Tests","school.redrover.FolderTest","testErrorDuringCreationWithDotInEnd"
"TC_01.003.03 Disabled FreestyleProject can be enabled from project's page","1680","testEnabledFromProjectPage","Surefire suite","Sun Jan 26 01:51:38 GMT 2025","passed","Sun Jan 26 01:51:40 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testEnabledFromProjectPage"
"TC_09.005.02 Check pick dark theme","1037","testPickDarkTheme","Surefire suite","Sun Jan 26 01:46:35 GMT 2025","passed","Sun Jan 26 01:46:36 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testPickDarkTheme"
"TC_09.003.02 Redirect to 'Manage Jenkins' page","668","testRedirectionToManage","Cross Browser Tests","Sun Jan 26 02:00:37 GMT 2025","passed","Sun Jan 26 02:00:38 GMT 2025","school.redrover.ManageJenkinsTest","Chrome Tests","school.redrover.ManageJenkinsTest","testRedirectionToManage"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1238","testRenameFolderWithUnsafeCharactersInName","Surefire suite","Sun Jan 26 01:55:17 GMT 2025","passed","Sun Jan 26 01:55:18 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_09.001.07 Check search system configuration items","1372","testSearchSystemConfigurationAllItemsAreFound","Cross Browser Tests","Sun Jan 26 02:00:48 GMT 2025","passed","Sun Jan 26 02:00:49 GMT 2025","school.redrover.ManageJenkinsTest","Chrome Tests","school.redrover.ManageJenkinsTest","testSearchSystemConfigurationAllItemsAreFound"
"TC_12.001.02 Verify version button clickability and display of 'About Jenkins' in dropdown menu","941","testCheckNumberOfMavenDependencies","Browser Tests","Sun Jan 26 01:56:47 GMT 2025","passed","Sun Jan 26 01:56:48 GMT 2025","school.redrover.FooterTest","Chrome Tests","school.redrover.FooterTest","testCheckNumberOfMavenDependencies"
