"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","149","0","","2"
"0","01 FreestyleProject","0","","77","0","","0"
"0","02 Pipeline","0","","30","0","","0"
"0","00 New Item","0","","21","0","US_00.002 Create Pipeline Project","0"
"0","02 Pipeline","0","","21","0","US_00.002 Create Pipeline Project","0"
"0","15 Nodes","0","","2","0","US_15.002 Delete node","0"
"0","00 New Item","0","","3","0","US_00.001 Create Freestyle Project","0"
"0","01 FreestyleProject","0","","3","0","US_00.001 Create Freestyle Project","0"
"0","15 Nodes","0","","1","0","US_15.001 Create new node","0"
"0","03 Multiconfiguration project","0","","1","0","US_03.003 Delete project","0"
"0","01 FreestyleProject","0","","1","0","US_01.002 Rename Project","0"
