"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Multi-Configuration Project","28","0","US_00.003 Create Multi-Configuration Project","0"
"0","API","0","","0","0","","2"
"0","Apache HttpClient API Requests","0","04 Folder","22","0","US_00.006 Create Folder","0"
"0","API","0","Multi-Configuration Project","2","0","03.005 Rename Project","0"
"0","Apache HttpClient API Requests","0","04 Folder","1","0","US_04.004 Add and edit description of the folder","0"
"0","12 Footer","0","","8","0","US_12.001 Jenkins version","0"
"0","API","0","Multi-Configuration Project","1","0","03.003 Delete Project","0"
"0","API","0","Multi-Configuration Project","1","0","03.001 Add/edit description","0"
"0","API","0","Multi-Configuration Project","2","0","03.002 Enable / Disable Project","0"
"0","Apache HttpClient API Requests","0","04 Folder","1","0","US_04.001 Rename Folder","0"
"0","Apache HttpClient API Requests","0","04 Folder","1","0","US_04.003 Delete Folder","0"
