"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5351","testDeleteViaBreadcrumbDropdown","Surefire suite","Wed Jan 15 14:05:00 GMT 2025","passed","Wed Jan 15 14:05:05 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testDeleteViaBreadcrumbDropdown"
"","639","testDeletionPopupAppearsOnMainPage","Surefire suite","Wed Jan 15 14:11:22 GMT 2025","passed","Wed Jan 15 14:11:22 GMT 2025","school.redrover.MultiConfigurationProjectTest","Surefire test","school.redrover.MultiConfigurationProjectTest","testDeletionPopupAppearsOnMainPage"
"","522","testSearchSettingsFieldIsDisplayed","Surefire suite","Wed Jan 15 14:10:32 GMT 2025","passed","Wed Jan 15 14:10:33 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testSearchSettingsFieldIsDisplayed"
"","997","testSuggestionList","Surefire suite","Wed Jan 15 14:02:53 GMT 2025","passed","Wed Jan 15 14:02:54 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testSuggestionList"
"","710","testCreate","Surefire suite","Wed Jan 15 14:13:22 GMT 2025","passed","Wed Jan 15 14:13:23 GMT 2025","school.redrover.DashboardTest","Surefire test","school.redrover.DashboardTest","testCreate"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1151","testRenameFolderWithUnsafeCharactersInName","Surefire suite","Wed Jan 15 14:12:25 GMT 2025","passed","Wed Jan 15 14:12:26 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"","3044","testDeleteFirstProjectViaChevron","Surefire suite","Wed Jan 15 14:05:51 GMT 2025","passed","Wed Jan 15 14:05:54 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testDeleteFirstProjectViaChevron"
"","1469","testRenameWithIncorrectSymbols","Surefire suite","Wed Jan 15 14:06:54 GMT 2025","passed","Wed Jan 15 14:06:55 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameWithIncorrectSymbols"
"","1156","testRedirectToResult","Surefire suite","Wed Jan 15 14:02:40 GMT 2025","passed","Wed Jan 15 14:02:41 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testRedirectToResult"
"","6240","testDeleteJobUsingDropdownBreadcrumbJobPage","Surefire suite","Wed Jan 15 14:08:43 GMT 2025","passed","Wed Jan 15 14:08:49 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testDeleteJobUsingDropdownBreadcrumbJobPage"
