"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","01 FreestyleProject","0","","0","0","US_01.001 Add description","3"
"0","01 FreestyleProject","0","","0","0","US_01.004 Delete Project","4"
"0","12 Footer","0","","8","0","US_12.001 Jenkins version","0"
"0","01 FreestyleProject","0","","0","0","US_01.008 Build item","11"
"0","01 FreestyleProject","0","","0","0","US_01.003 Disable/Enable Project","4"
"0","","0","03 MultiConfiguration project","1","0","US_03.004 Build","0"
"0","00 New Item","0","","0","0","US_00.001 Create Freestyle Project","9"
"0","01 FreestyleProject","0","","0","0","US_00.001 Create Freestyle Project","9"
"0","01 FreestyleProject","0","","0","0","US_01.002 Rename Project","2"
"0","01 FreestyleProject","0","","0","0","US_01.002 Rename project","4"
"0","01 FreestyleProject","0","","0","0","US_01.005 View build changes","3"
"0","13 User","0","","0","0","US_13.001 Create user","2"
"0","01 FreestyleProject","0","","0","0","US_01.007 Workspace delete","2"
"0","13 User","0","","0","0","US_13.003 Modify User","2"
"0","14 Header","0","","0","0","US_14.002 Search box","11"
"0","01 FreestyleProject","0","","0","0","US_01.006 Workspace view","1"
"0","01 FreestyleProject","0","","0","0","US_01.013 Add Execute Shell Command","1"
"0","00 New Item","0","03 MultiConfiguration project","2","0","US_00.003 Create MultiConfiguration project","0"
"0","","0","03 MultiConfiguration project","7","0","US_03.003 Delete project","0"
"0","API","0","","0","0","","2"
"0","13 User","0","","0","0","US_13.002 Delete User","2"
"0","01 FreestyleProject","0","","0","0","US_01.010 Edit description","1"
"0","01 FreestyleProject","0","","0","0","US_01.012 Sidebar Menu Verification","1"
"0","01 FreestyleProject","0","","0","0","US_01.011 Delete description","1"
"0","","0","03 MultiConfiguration project","1","0","US_03.001 Add/edit description","0"
"0","14 Header","0","","0","0","US_14.003 Questions box","1"
