"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"(NO TC) 06.004.05 Verify Description preview button enable state","971","testDescriptionPreview","Surefire suite","Mon Jan 27 07:28:02 GMT 2025","passed","Mon Jan 27 07:28:03 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testDescriptionPreview"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","387","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Mon Jan 27 07:34:16 GMT 2025","passed","Mon Jan 27 07:34:16 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"TC_16.004.01 Delete 'My View'","389","testDeleteMyView","Surefire suite","Mon Jan 27 07:29:34 GMT 2025","passed","Mon Jan 27 07:29:35 GMT 2025","school.redrover.NewViewDashboardTest","Surefire test","school.redrover.NewViewDashboardTest","testDeleteMyView"
"","0","orderMethodsForkDownDepTest","Surefire suite","Mon Jan 27 07:28:18 GMT 2025","passed","Mon Jan 27 07:28:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","389","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Mon Jan 27 07:38:37 GMT 2025","passed","Mon Jan 27 07:38:37 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"007 Add Description to Folder","20","testAddDescriptionToFolder","Surefire suite","Mon Jan 27 07:29:25 GMT 2025","passed","Mon Jan 27 07:29:25 GMT 2025","school.redrover.APIHttpTest","Surefire test","school.redrover.APIHttpTest","testAddDescriptionToFolder"
"TC_16.002.02 Create basic List View","1886","testAddNewListView","Surefire suite","Mon Jan 27 07:29:29 GMT 2025","passed","Mon Jan 27 07:29:31 GMT 2025","school.redrover.NewViewDashboardTest","Surefire test","school.redrover.NewViewDashboardTest","testAddNewListView"
"TC_03.003.04 Delete MultiConfiguration project  from 'My views' page via 'Dropdown menu'","1539","testDeleteFromMyViewsPage","Surefire suite","Mon Jan 27 07:26:10 GMT 2025","passed","Mon Jan 27 07:26:11 GMT 2025","school.redrover.MultiConfigurationProjectTest","Surefire test","school.redrover.MultiConfigurationProjectTest","testDeleteFromMyViewsPage"
"(NO TC) 00.007.05 Add 'Description' to the created project of type 'Organization Folder'","1712","testAddDescription","Surefire suite","Mon Jan 27 07:27:35 GMT 2025","passed","Mon Jan 27 07:27:37 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testAddDescription"
"TC_02.007.04 Error message when new project name matches an existing one","1739","testErrorMessageRenameDuplicateName","Surefire suite","Mon Jan 27 07:31:36 GMT 2025","passed","Mon Jan 27 07:31:37 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testErrorMessageRenameDuplicateName"
"(NO TC) 16.002.05 Verify default page source while View creating","990","testCreateNewViewForm","Surefire suite","Mon Jan 27 07:32:49 GMT 2025","passed","Mon Jan 27 07:32:50 GMT 2025","school.redrover.ViewTest","Surefire test","school.redrover.ViewTest","testCreateNewViewForm"
"TC_01.013.01 Verify Shell Command is Added and Displayed ","2805","testConfigureProjectAddBuildStepsExecuteShellCommand","Surefire suite","Mon Jan 27 07:33:22 GMT 2025","passed","Mon Jan 27 07:33:24 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testConfigureProjectAddBuildStepsExecuteShellCommand"
"TC_02.005.02 Delete Pipeline via chevron dropdown menu on the Dashboard","6732","testDeleteViaChevron","Surefire suite","Mon Jan 27 07:31:28 GMT 2025","passed","Mon Jan 27 07:31:34 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testDeleteViaChevron"
"TC_05.001.01 Rename its title using sidebar (EM)","561","testRenameMultibranchViaSideBar","Surefire suite","Mon Jan 27 07:37:50 GMT 2025","passed","Mon Jan 27 07:37:50 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testRenameMultibranchViaSideBar"
"TC_00.007.02 Configure the project 'Organization Folder'","560","testEditDisplayName","Surefire suite","Mon Jan 27 07:27:52 GMT 2025","passed","Mon Jan 27 07:27:52 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testEditDisplayName"
"TC_04.001.06 Validate Error message, if New Folder Name contains special characters","1229","testRenameFolderWithUnsafeCharactersInName","Surefire suite","Mon Jan 27 07:37:16 GMT 2025","passed","Mon Jan 27 07:37:17 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testRenameFolderWithUnsafeCharactersInName"
"TC_00.002.03 Create Pipeline Project with unsafe characters in name via sidepanel","428","testCreateWithUnsafeCharactersInName","Surefire suite","Mon Jan 27 07:31:12 GMT 2025","passed","Mon Jan 27 07:31:12 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithUnsafeCharactersInName"
"TC_00.003.00 Create MultiConfiguration project with left sidebar button","898","testCreateProjectWithoutDescription","Surefire suite","Mon Jan 27 07:26:05 GMT 2025","passed","Mon Jan 27 07:26:06 GMT 2025","school.redrover.MultiConfigurationProjectTest","Surefire test","school.redrover.MultiConfigurationProjectTest","testCreateProjectWithoutDescription"
"TC_04.002.04 Move folders which are on the same level","1233","testMoveFromTheSameLevel","Surefire suite","Mon Jan 27 07:36:45 GMT 2025","passed","Mon Jan 27 07:36:46 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testMoveFromTheSameLevel"
"Create Freestyle Project with valid name","18","testCreateFreestyleProject","Surefire suite","Mon Jan 27 07:29:26 GMT 2025","passed","Mon Jan 27 07:29:26 GMT 2025","school.redrover.APIHttpTest","Surefire test","school.redrover.APIHttpTest","testCreateFreestyleProject"
"(NO TC) 14.002.03 No results are found","148","testNoResultSearch","Surefire suite","Mon Jan 27 07:30:05 GMT 2025","passed","Mon Jan 27 07:30:05 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testNoResultSearch"
"Create Multibranch pipeline with valid name","21","testCreateMultibranchPipeline","Surefire suite","Mon Jan 27 07:29:27 GMT 2025","passed","Mon Jan 27 07:29:27 GMT 2025","school.redrover.APIHttpTest","Surefire test","school.redrover.APIHttpTest","testCreateMultibranchPipeline"
"001 Create freestyle project with valid name","1356","createFreestyleProjectTest","Surefire suite","Mon Jan 27 07:25:04 GMT 2025","passed","Mon Jan 27 07:25:06 GMT 2025","school.redrover.api.FreestyleProjectApiTest","Surefire test","school.redrover.api.FreestyleProjectApiTest","createFreestyleProjectTest"
"TC_02.003.06 Display tooltip Success by hovering over the icon next to the Project name","281","testGetSuccessTooltipDisplayedWhenHoverOverGreenMark","Surefire suite","Mon Jan 27 07:31:48 GMT 2025","passed","Mon Jan 27 07:31:49 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testGetSuccessTooltipDisplayedWhenHoverOverGreenMark"
"TC_02.004.02 Verify tooltip text in the options list on the Configure page","1876","testVerifyCheckboxTooltipsContainCorrectText","Surefire suite","Mon Jan 27 07:32:38 GMT 2025","passed","Mon Jan 27 07:32:40 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testVerifyCheckboxTooltipsContainCorrectText"
"TC_09.001.04 Check shortcut switch focus to search setting field","586","testShortcutMovesFocusToSearchSettingsField","Surefire suite","Mon Jan 27 07:29:13 GMT 2025","passed","Mon Jan 27 07:29:14 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testShortcutMovesFocusToSearchSettingsField"
"TC_09.004.01 Manage Jenkins Users page","1138","testCheckTitle","Cross Browser Tests","Mon Jan 27 07:41:34 GMT 2025","passed","Mon Jan 27 07:41:35 GMT 2025","school.redrover.ManageJenkinsTest","Chrome Tests","school.redrover.ManageJenkinsTest","testCheckTitle"
"TC_04.002.02 Move from the main page via 'Dropdown menu'","1871","testMoveViaChevronMainPage","Surefire suite","Mon Jan 27 07:36:49 GMT 2025","passed","Mon Jan 27 07:36:51 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testMoveViaChevronMainPage"
"TC_03.003.03 Confirmation popup appears when deleting a project on the project page","1352","testDeletionPopupAppearsOnProjectPage","Surefire suite","Mon Jan 27 07:26:19 GMT 2025","passed","Mon Jan 27 07:26:20 GMT 2025","school.redrover.MultiConfigurationProjectTest","Surefire test","school.redrover.MultiConfigurationProjectTest","testDeletionPopupAppearsOnProjectPage"
"TC_01.003.03 Disabled FreestyleProject can be enabled from project's page","1721","testEnabledFromProjectPage","Surefire suite","Mon Jan 27 07:33:47 GMT 2025","passed","Mon Jan 27 07:33:49 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testEnabledFromProjectPage"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","406","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Mon Jan 27 07:38:22 GMT 2025","passed","Mon Jan 27 07:38:22 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"TC_16.004.02 Delete 'List View'","868","testDeleteListView","Surefire suite","Mon Jan 27 07:29:31 GMT 2025","passed","Mon Jan 27 07:29:32 GMT 2025","school.redrover.NewViewDashboardTest","Surefire test","school.redrover.NewViewDashboardTest","testDeleteListView"
"(NO TC) TC_14.002.01 Display and type in search field","342","testBuiltInSearch","Surefire suite","Mon Jan 27 07:29:57 GMT 2025","passed","Mon Jan 27 07:29:57 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testBuiltInSearch"
"TC_08.005.07 Check console output of failed build","636","testFailedBuildConsoleOutputCheck","Surefire suite","Mon Jan 27 07:25:32 GMT 2025","passed","Mon Jan 27 07:25:32 GMT 2025","school.redrover.BuildHistoryTest","Surefire test","school.redrover.BuildHistoryTest","testFailedBuildConsoleOutputCheck"
"TC_09.005.02 Check pick dark theme","1037","testPickDarkTheme","Cross Browser Tests","Mon Jan 27 07:41:47 GMT 2025","passed","Mon Jan 27 07:41:48 GMT 2025","school.redrover.ManageJenkinsTest","Chrome Tests","school.redrover.ManageJenkinsTest","testPickDarkTheme"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","250","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Mon Jan 27 07:38:39 GMT 2025","passed","Mon Jan 27 07:38:39 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"TC_01.008.01 Run the build","6282","testBuildProjectViaSidebarMenuOnProjectPage","Surefire suite","Mon Jan 27 07:33:07 GMT 2025","passed","Mon Jan 27 07:33:13 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testBuildProjectViaSidebarMenuOnProjectPage"
"","0","orderMethodsTest","Surefire suite","Mon Jan 27 07:28:18 GMT 2025","passed","Mon Jan 27 07:28:18 GMT 2025","school.redrover.runner.order.OrderForTestsTest","Surefire test","school.redrover.runner.order.OrderForTestsTest","orderMethodsTest"
"TC_09.003.01 Manage Jenkins System Configure Breadcrumbs","1169","testManageJenkinsSystemConfigureBreadcrumbs","Cross Browser Tests","Mon Jan 27 07:42:39 GMT 2025","passed","Mon Jan 27 07:42:40 GMT 2025","school.redrover.ManageJenkinsTest","Edge Tests","school.redrover.ManageJenkinsTest","testManageJenkinsSystemConfigureBreadcrumbs"
"TC_01.002.02 Rename FreestyleProject with incorrect symbols","1423","testRenameWithIncorrectSymbols","Surefire suite","Mon Jan 27 07:34:53 GMT 2025","passed","Mon Jan 27 07:34:54 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameWithIncorrectSymbols"
"TC_01.002.02 Rename FreestyleProject with incorrect symbols","1409","testRenameWithIncorrectSymbols","Surefire suite","Mon Jan 27 07:35:18 GMT 2025","passed","Mon Jan 27 07:35:19 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameWithIncorrectSymbols"
"TC_04.003.01 Delete from the main page via Dropdown menu","2088","testDeleteViaMainPageChevron","Surefire suite","Mon Jan 27 07:36:26 GMT 2025","passed","Mon Jan 27 07:36:28 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testDeleteViaMainPageChevron"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","403","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Mon Jan 27 07:34:13 GMT 2025","passed","Mon Jan 27 07:34:14 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"TC_04.003.03 Delete from 'My views' page via 'Dropdown menu'","1774","testDeleteViaMyViewChevron","Surefire suite","Mon Jan 27 07:36:29 GMT 2025","passed","Mon Jan 27 07:36:31 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testDeleteViaMyViewChevron"
"TC_09.005.05 Check system theme","1058","testThemesSystem","Cross Browser Tests","Mon Jan 27 07:43:44 GMT 2025","passed","Mon Jan 27 07:43:45 GMT 2025","school.redrover.ManageJenkinsTest","Edge Tests","school.redrover.ManageJenkinsTest","testThemesSystem"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","394","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Mon Jan 27 07:34:15 GMT 2025","passed","Mon Jan 27 07:34:15 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"TC_00.005.05 Verify error message when create with empty name","230","testVerifyErrorMessageWhenCreateWithEmptyName","Surefire suite","Mon Jan 27 07:38:48 GMT 2025","passed","Mon Jan 27 07:38:49 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testVerifyErrorMessageWhenCreateWithEmptyName"
"TC_09.001.07 Check search system configuration items","1322","testSearchSystemConfigurationAllItemsAreFound","Surefire suite","Mon Jan 27 07:29:03 GMT 2025","passed","Mon Jan 27 07:29:05 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testSearchSystemConfigurationAllItemsAreFound"
"TC_00.002.06 Validation that error message shown when invalid characters are entered in the projects name field","244","testErrorMessageDisplayedForInvalidCharactersInProjectName","Surefire suite","Mon Jan 27 07:34:18 GMT 2025","passed","Mon Jan 27 07:34:18 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testErrorMessageDisplayedForInvalidCharactersInProjectName"
"008 Rename Folder","10","testRenameFolder","Surefire suite","Mon Jan 27 07:28:18 GMT 2025","passed","Mon Jan 27 07:28:18 GMT 2025","school.redrover.APIHTTPFolderTest","Surefire test","school.redrover.APIHTTPFolderTest","testRenameFolder"
"TC_04.006.01 Open Build history by chevron","976","testOpenBuildHistoryByChevron","Surefire suite","Mon Jan 27 07:36:19 GMT 2025","passed","Mon Jan 27 07:36:20 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testOpenBuildHistoryByChevron"
"TC_00.005.06 Create Multibranch Pipeline with unsafe characters in name","252","testEnterInvalidNameAndSeesAppropriateMessages","Surefire suite","Mon Jan 27 07:38:34 GMT 2025","passed","Mon Jan 27 07:38:35 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testEnterInvalidNameAndSeesAppropriateMessages"
"007 Add Description to Folder","23","testAddDescriptionToFolder","Surefire suite","Mon Jan 27 07:28:17 GMT 2025","passed","Mon Jan 27 07:28:17 GMT 2025","school.redrover.APIHTTPFolderTest","Surefire test","school.redrover.APIHTTPFolderTest","testAddDescriptionToFolder"
"008 Rename Folder","20","testRenameFolder","Surefire suite","Mon Jan 27 07:29:26 GMT 2025","passed","Mon Jan 27 07:29:26 GMT 2025","school.redrover.APIHttpTest","Surefire test","school.redrover.APIHttpTest","testRenameFolder"
"TC_01.002.01 Rename FreestyleProject with correct name","464","testRenameProjectViaSidebarMenu","Surefire suite","Mon Jan 27 07:33:42 GMT 2025","passed","Mon Jan 27 07:33:42 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testRenameProjectViaSidebarMenu"
